date,long_gross,short_gross,net_stock_exposure
1998-09-30,0.6661897901,0.3130329889,0.3531568012
1998-10-30,0.6175852263,0.3055917068,0.3119935195
1998-11-30,0.6882349443,0.2644035797,0.4238313646
1998-12-31,0.6388693332,0.2798303863,0.3590389469
1999-01-29,0.7532533032,0.3167957078,0.4364575955
1999-02-26,0.8672842199,0.3532971087,0.5139871112
1999-03-31,0.7549635761,0.3823404365,0.3726231396
1999-04-30,0.6999077404,0.3705782128,0.3293295276
1999-05-28,0.6119089525,0.3424718459,0.2694371066
1999-06-30,0.5680436535,0.3692995761,0.1987440773
1999-07-30,0.7221784941,0.4321661707,0.2900123234
1999-08-31,0.7754583362,0.4520534531,0.3234048831
1999-09-30,0.7548620158,0.4280602267,0.3268017891
1999-10-29,0.7219469221,0.4033066522,0.3186402699
1999-11-30,0.7406623842,0.3862561335,0.3544062507
1999-12-31,0.6882321272,0.3492756062,0.3389565210
2000-01-31,0.6343250600,0.3645824806,0.2697425794
2000-02-29,0.5809275942,0.3689110939,0.2120165003
2000-03-31,0.5869736654,0.3524352462,0.2345384192
2000-04-28,0.4141746946,0.3523085003,0.0618661943
2000-05-31,0.3614979142,0.3214845223,0.0400133919
2000-06-30,0.4452216846,0.2901727150,0.1550489696
2000-07-31,0.5058837831,0.3109547998,0.1949289833
2000-08-31,0.4944863854,0.4011210743,0.0933653112
2000-09-29,0.6402864444,0.3381986825,0.3020877618
2000-10-31,0.6176037418,0.3873540111,0.2302497307
2000-11-30,0.6245546252,0.3307804188,0.2937742064
2000-12-29,0.5787706883,0.3167168239,0.2620538645
2001-01-31,0.5768710582,0.2304719641,0.3463990941
2001-02-28,0.5801943800,0.2155960309,0.3645983491
2001-03-30,0.4253061435,0.3006720895,0.1246340540
2001-04-30,0.6330680287,0.2733750870,0.3596929417
2001-05-31,0.7751270888,0.1993697308,0.5757573580
2001-06-29,0.6479311706,0.2771656907,0.3707654799
2001-07-31,0.6422501769,0.3831527575,0.2590974193
2001-08-31,0.7587263613,0.3522966800,0.4064296813
2001-09-28,0.6336310874,0.4020005203,0.2316305671
2001-10-31,0.6476373840,0.3543142868,0.2933230972
2001-11-30,0.6777060096,0.2510815134,0.4266244962
2001-12-31,0.6524624380,0.2681664739,0.3842959640
2002-01-31,0.6441669402,0.3913468103,0.2528201299
2002-02-28,0.6767666862,0.4823748877,0.1943917986
2002-03-28,0.7453349353,0.4867042467,0.2586306886
2002-04-30,0.5876102338,0.5354760975,0.0521341363
2002-05-31,0.5527502571,0.5637348990,-0.0109846418
2002-06-28,0.6223027809,0.5356546099,0.0866481711
2002-07-31,0.6681554310,0.4357729197,0.2323825113
2002-08-30,0.5869294328,0.3652227010,0.2217067318
2002-09-30,0.4736052053,0.2999789589,0.1736262464
2002-10-31,0.4301672530,0.3549970181,0.0751702349
2002-11-29,0.5988338446,0.2982517658,0.3005820789
2002-12-31,0.6182278960,0.2838146151,0.3344132809
2003-01-31,0.6396119287,0.3377877952,0.3018241335
2003-02-28,0.6839334666,0.4397433764,0.2441900903
2003-03-31,0.7884206903,0.4432683454,0.3451523449
2003-04-30,0.7370515907,0.4579989522,0.2790526385
2003-05-30,0.7399086378,0.4484622182,0.2914464196
2003-06-30,0.7220477117,0.4830593426,0.2389883691
2003-07-31,0.7593256956,0.6001680972,0.1591575984
2003-08-29,0.8198614319,0.6791558726,0.1407055593
2003-09-30,0.9367427819,0.7182956745,0.2184471074
2003-10-31,0.8727182275,0.8043370041,0.0683812234
2003-11-28,0.9284167864,0.8756241999,0.0527925865
2003-12-31,0.8741217949,0.8648303635,0.0092914313
2004-01-30,0.9373943647,0.8235482781,0.1138460866
2004-02-27,0.9353153844,0.8161882491,0.1191271353
2004-03-31,0.9054997125,0.8004428029,0.1050569096
2004-04-30,0.8682461556,0.7258972665,0.1423488891
2004-05-28,0.7978857375,0.7390609004,0.0588248371
2004-06-30,0.8627685508,0.7305237499,0.1322448008
2004-07-30,0.8697624998,0.7322874218,0.1374750780
2004-08-31,0.9255007285,0.7542351200,0.1712656085
2004-09-30,0.9385304179,0.7021019758,0.2364284420
2004-10-29,0.9809299442,0.6962617892,0.2846681551
2004-11-30,0.9775239919,0.7283807439,0.2491432481
2004-12-31,0.9885563916,0.7134001674,0.2751562242
2005-01-31,0.9879239352,0.7004630766,0.2874608587
2005-02-28,1.0106640244,0.7449734803,0.2656905441
2005-03-31,0.9955018872,0.7641627660,0.2313391212
2005-04-29,0.9804514833,0.7133153446,0.2671361387
2005-05-31,0.9464598548,0.7168037850,0.2296560698
2005-06-30,1.0011760380,0.7056793955,0.2954966425
2005-07-29,1.0129218606,0.7933209854,0.2196008752
2005-08-31,1.0004090180,0.9020376558,0.0983713622
2005-09-30,0.9901049182,0.8802174672,0.1098874510
2005-10-31,0.9709259054,0.8253024447,0.1456234607
2005-11-30,1.0079066666,0.8100917448,0.1978149218
2005-12-30,0.9397516069,0.7659025825,0.1738490244
2006-01-31,1.0007565132,0.8327934525,0.1679630607
2006-02-28,1.0043687454,0.8420186458,0.1623500996
2006-03-31,0.9848606054,0.8596678052,0.1251928002
2006-04-28,0.9937457535,0.8042147250,0.1895310285
2006-05-31,0.9786624967,0.8241002129,0.1545622838
2006-06-30,0.9551056439,0.8641868177,0.0909188263
2006-07-31,0.8908883902,0.8060302898,0.0848581004
2006-08-31,0.8737169806,0.7256674913,0.1480494893
2006-09-29,0.8893968192,0.7234841248,0.1659126944
2006-10-31,0.9827562582,0.7175754638,0.2651807944
2006-11-30,1.0123419434,0.7543846264,0.2579573170
2006-12-29,1.0143053557,0.7677919854,0.2465133704
2007-01-31,1.0132950469,0.8170709897,0.1962240572
2007-02-28,1.0137571887,0.8282109308,0.1855462579
2007-03-30,0.9926559093,0.7559475678,0.2367083416
2007-04-30,1.0165427861,0.7756935328,0.2408492532
2007-05-31,1.0059991029,0.7825648725,0.2234342304
2007-06-29,0.9932263084,0.8164475748,0.1767787336
2007-07-31,0.9931207527,0.8045237976,0.1885969551
2007-08-31,0.9905763838,0.6688688197,0.3217075640
2007-09-28,0.9021149108,0.5600690767,0.3420458342
2007-10-31,0.7560938667,0.5398135857,0.2162802810
2007-11-30,0.7325382576,0.5914954821,0.1410427755
2007-12-31,0.8225703995,0.5313277265,0.2912426730
2008-01-31,0.7049921905,0.4863960081,0.2185961824
2008-02-29,0.7528475159,0.3693595325,0.3834879834
2008-03-31,0.6647852574,0.3992814084,0.2655038490
2008-04-30,0.6896607375,0.3898405237,0.2998202138
2008-05-30,0.7692122511,0.3699365040,0.3992757471
2008-06-30,0.7639451190,0.3988929626,0.3650521565
2008-07-31,0.7799656969,0.4422904315,0.3376752654
2008-08-29,0.7615864045,0.3005093311,0.4610770734
2008-09-30,0.6545954689,0.2624926126,0.3921028563
2008-10-31,0.4793224701,0.1965666253,0.2827558448
2008-11-28,0.3461310761,0.1732791954,0.1728518807
2008-12-31,0.3155848021,0.1644212530,0.1511635491
2009-01-30,0.3407756035,0.1406782736,0.2000973299
2009-02-27,0.4005419469,0.1640978057,0.2364441412
2009-03-31,0.4775928287,0.2421742935,0.2354185352
2009-04-30,0.5239930506,0.2080678084,0.3159252422
2009-05-29,0.5541825057,0.1897271822,0.3644553235
2009-06-30,0.5653456920,0.2087857737,0.3565599183
2009-07-31,0.6149725421,0.2727527398,0.3422198023
2009-08-31,0.6972686700,0.3412863995,0.3559822706
2009-09-30,0.8005140694,0.3898293232,0.4106847462
2009-10-30,0.7911877685,0.4549480525,0.3362397160
2009-11-30,0.8480084339,0.4858500920,0.3621583419
2009-12-31,0.8168053998,0.5477829238,0.2690224760
2010-01-29,0.8929875927,0.5448525301,0.3481350627
2010-02-26,0.9520610330,0.5887377286,0.3633233044
2010-03-31,0.9721216189,0.6270651289,0.3450564900
2010-04-30,0.9765854036,0.6225436051,0.3540417986
2010-05-28,0.9504172446,0.5796728758,0.3707443688
2010-06-30,0.8311835270,0.4616776026,0.3695059244
2010-07-30,0.7223614385,0.4358510787,0.2865103598
2010-08-31,0.6834436948,0.4357400445,0.2477036503
2010-09-30,0.8216306761,0.5244530435,0.2971776326
2010-10-29,0.9018906422,0.5685142222,0.3333764200
2010-11-30,0.9887017001,0.6367232605,0.3519784396
2010-12-31,1.0110200332,0.6859955387,0.3250244946
2011-01-31,1.0076226870,0.7173381364,0.2902845506
2011-02-28,1.0171203538,0.7256013304,0.2915190234
2011-03-31,0.9995753364,0.6671426984,0.3324326380
2011-04-29,1.0019243813,0.7000488562,0.3018755251
2011-05-31,0.9917196617,0.7209250625,0.2707945992
2011-06-30,0.9915748380,0.6873805678,0.3041942701
