period,dates,start,end,long_pct,short_pct,net_pct,gross_pct,mean_abs_net_pct,model,schedule
development,5869,1998-09-09,2021-12-31,90.2883045182659,46.19718200118886,44.091122517077046,136.48548651945478,44.091122517077046,fixed,o0
later,1103,2022-01-03,2026-05-27,92.36005872675335,39.572309519095555,52.7877492076578,131.9323682458489,52.7877492076578,fixed,o0
later,1103,2022-01-03,2026-05-27,91.95644707772195,39.53096933839458,52.42547773932736,131.48741641611653,52.42547773932736,fixed,o1
development,5865,1998-09-15,2021-12-31,90.32679293118734,46.26094129324687,44.06585163794046,136.58773422443423,44.06585163794046,fixed,o1
development,5860,1998-09-22,2021-12-31,90.2335710567322,46.179090501089846,44.05448055564237,136.41266155782205,44.05448055564237,fixed,o2
later,1103,2022-01-03,2026-05-27,91.8018307818943,39.232837756708136,52.568993025186174,131.03466853860243,52.568993025186174,fixed,o2
development,5869,1998-09-09,2021-12-31,84.353867607453,56.08343566556487,28.270431941888134,140.43730327301787,28.512114954130148,ols,o0
later,1103,2022-01-03,2026-05-27,89.21142706506295,44.60558232032063,44.60584474474231,133.81700938538359,44.60584474474231,ols,o0
development,5865,1998-09-15,2021-12-31,84.185247451765,56.2005519554442,27.98469549632079,140.3857994072092,28.233975002922218,ols,o1
later,1103,2022-01-03,2026-05-27,89.3318840930284,44.312671737828005,45.0192123552004,133.6445558308564,45.0192123552004,ols,o1
development,5860,1998-09-22,2021-12-31,84.61794417372465,55.87366045571605,28.744283718008596,140.4916046294407,29.083967790290504,ols,o2
later,1103,2022-01-03,2026-05-27,89.02028694222231,44.49807184291632,44.522215099305996,133.51835878513862,44.522215099305996,ols,o2
development,5869,1998-09-09,2021-12-31,84.98438339215923,54.701130136663444,30.28325325549579,139.68551352882267,30.44430625002118,ridge,o0
later,1103,2022-01-03,2026-05-27,90.00312212098994,43.436185483925335,46.56693663706461,133.43930760491526,46.56693663706461,ridge,o0
development,5865,1998-09-15,2021-12-31,84.99481860417842,54.84627436674888,30.14854423742953,139.8410929709273,30.240782925608727,ridge,o1
later,1103,2022-01-03,2026-05-27,90.58190113132454,43.14936786449602,47.43253326682852,133.73126899582056,47.43253326682852,ridge,o1
development,5860,1998-09-22,2021-12-31,85.29254613545358,54.63020711374224,30.662339021711343,139.9227532491958,30.827031937087813,ridge,o2
later,1103,2022-01-03,2026-05-27,90.050568807745,43.40588700096461,46.64468180678038,133.45645580870962,46.64468180678038,ridge,o2
