fold,offset,variance_share_below_0p1
0,0,0.07914977789525715
0,1,0.07910393549440578
0,2,0.07897743697166376
1,0,0.07180893966392013
1,1,0.07181141098483645
1,2,0.07174105216779507
2,0,0.06536898863389685
2,1,0.06539647998924879
2,2,0.06536155103426594
3,0,0.06439523242892736
3,1,0.06438536836410015
3,2,0.06436024450875345
4,0,0.06343266773258535
4,1,0.06342488307608211
4,2,0.0634239469346265
5,0,0.06455868715617773
5,1,0.06455083211465223
5,2,0.06461272282364412
6,0,0.06427558148173154
6,1,0.06424575299296295
6,2,0.06434255902762685
7,0,0.06404188308256126
7,1,0.06403064465032823
7,2,0.06411676292092924
8,0,0.06378742008418815
8,1,0.06377798121332183
8,2,0.06383709558558387
9,0,0.06340856734401344
9,1,0.06341298558737851
9,2,0.06345680591049119
10,0,0.06363819884292889
10,1,0.06364265809467867
10,2,0.06371084581229197
11,0,0.06346376291703577
11,1,0.06346420101225103
11,2,0.06352325272360508
