X_feature_price_bb_pct5,X_feature_price_price_to_min5,X_feature_price_price_to_ma21,X_feature_price_bb_pct21,X_feature_price_price_to_ma10,X_feature_price_bb_pct10,X_feature_price_price_to_min21,X_feature_price_price_to_min10,X_feature_price_high_to_initial126_exclude21,X_feature_price_high_to_initial90_exclude10,X_feature_price_freq_loss_fl756,X_feature_price_freq_loss_fl252,X_feature_price_high_to_initial252_exclude21,X_feature_price_trend_streak200_504,X_feature_price_ret252_shift0,X_feature_price_macd_21_252,X_feature_price_trend_streak200_126,X_feature_price_trend_streak200_252,X_feature_price_freq_loss_fl63,X_feature_price_freq_loss_fl21,X_feature_price_price_to_min63,X_feature_price_macd_10_21,X_feature_price_sharpe_ratio_compound_r63_volatility63_rolling,X_feature_price_price_to_ma63,X_feature_price_bb_pct126,X_feature_price_price_to_min252,X_feature_price_ret90_shift0,X_feature_price_price_to_ma252,X_feature_price_sharpe_ratio_compound_r126_volatility126_rolling,X_feature_price_macd_21_126,X_feature_price_final_to_high90_exclude10,X_feature_price_price_to_max252,X_feature_price_final_to_high252_exclude21,X_feature_price_lag1,X_feature_price_ret21_shift0,X_feature_price_ret10_shift0,X_feature_price_ret5_shift0,X_feature_price_downside_vol10,X_feature_price_downside_vol21,X_feature_price_vol10,X_feature_price_upside_vol10,X_feature_price_upside_vol21,X_feature_price_upside_vol63,X_feature_price_atr5,X_feature_price_downside_vol126,X_feature_price_downside_vol63,X_feature_price_atr21,X_feature_price_atr126,X_feature_price_vol252,X_feature_market_cap_log_identity,X_feature_market_cap_log_std21,X_feature_market_cap_log_std126,X_feature_market_cap_log_std504,X_feature_market_cap_log_std252,X_feature_market_cap_log_diff_126,X_feature_market_cap_log_to_min126,X_feature_market_cap_log_to_max504,X_feature_market_cap_log_diff_504,X_feature_market_cap_log_to_min504,X_feature_pv_pv_corr21,X_feature_pv_pv_corr126,X_feature_pv_pv_corr63,X_feature_liquidity_turnover_level63,X_feature_volume_log_volume_ratio_max126,X_feature_volume_log_volume_ratio_max252,X_feature_pv_illiquidity_mean21,X_feature_volume_log_volume_std504,X_feature_volume_log_volume_std126,X_feature_volume_log_volume_std63,X_feature_market_corr504,X_feature_market_corr252,X_feature_short_interest_to_volume_log_ratio_std252,X_feature_short_interest_to_volume_log_ratio_std63,X_feature_short_interest_to_volume_log_ratio,X_feature_short_interest_to_volume_log_ratio_mean252,X_feature_short_interest_to_volume_log_ratio_mean63,X_feature_short_interest_log_diff21,X_feature_short_interest_log_diff252,X_feature_short_interest_log_diff63,X_feature_short_interest_log_diff126
1.000000,0.772257,0.484987,0.598650,0.687228,0.806979,0.443629,0.609681,-0.005110,0.002820,-0.050578,-0.084114,-0.003682,-0.020194,-0.098953,-0.031191,-0.028063,-0.021428,-0.153636,0.253443,0.267539,-0.075451,-0.182546,0.285061,-0.267258,-0.138211,-0.148669,-0.157133,-0.137713,-0.032606,-0.024901,-0.214717,-0.029369,0.370033,0.289938,0.428707,0.637023,-0.198229,-0.114800,-0.025287,0.144910,0.057918,0.005613,-0.028887,-0.043860,-0.059134,-0.031543,-0.027522,-0.024154,-0.038316,-0.016037,-0.017095,-0.013424,-0.014301,-0.123039,0.185810,-0.158237,-0.063099,-0.081804,0.104147,0.036869,0.053411,-0.014740,-0.019476,-0.016145,-0.015219,-0.007068,-0.009528,-0.009922,-0.004082,-0.004660,-0.006841,-0.011305,-0.014035,-0.003661,-0.004988,-0.004274,-0.007063,-0.004446,-0.006426
0.772257,1.000000,0.494439,0.561626,0.705485,0.722155,0.570000,0.774967,-0.069944,0.063115,0.023344,-0.017071,-0.068493,0.036154,-0.067315,0.037552,0.029037,0.032689,-0.093706,0.204638,0.358563,-0.028679,-0.136071,0.268894,-0.215066,-0.214071,-0.117616,-0.116406,-0.086070,0.032563,0.106385,-0.080144,0.099158,0.400800,0.286263,0.445480,0.677658,0.034536,0.108372,0.263628,0.404070,0.293289,0.217809,0.275591,0.165795,0.154421,0.215585,0.193829,0.183286,0.014389,0.177958,0.144277,0.143152,0.149184,-0.099391,0.271872,-0.039211,-0.054119,-0.164558,0.111967,0.048429,0.061468,0.134072,-0.040953,-0.041617,0.035309,0.014908,0.012651,0.013876,0.007052,0.003688,0.023777,0.022824,-0.058387,-0.018107,-0.022747,0.002888,0.009416,0.006125,0.005300
0.484987,0.494439,1.000000,0.893583,0.825028,0.709181,0.810068,0.687910,-0.007542,0.019967,-0.076958,-0.143758,-0.011977,-0.026024,-0.226378,-0.080875,-0.055679,-0.034024,-0.288917,0.524095,0.605574,-0.371567,-0.436575,0.717706,-0.595601,-0.342017,-0.375028,-0.377873,-0.309491,-0.139207,-0.163405,-0.418266,-0.012303,0.298356,0.830077,0.883345,0.693298,-0.387726,-0.301238,-0.028812,0.309815,0.238709,0.090313,-0.053429,-0.079674,-0.133763,-0.036126,-0.017319,-0.012912,-0.073571,0.033980,-0.001408,0.002060,0.000434,-0.299011,0.441647,-0.314337,-0.139338,-0.211090,0.411546,0.149570,0.220557,-0.011567,0.002879,0.010215,-0.021423,0.000037,-0.005834,-0.010556,-0.003496,-0.006422,-0.003587,-0.021695,0.004196,-0.006344,-0.009362,-0.007893,-0.013969,-0.007625,-0.013344
0.598650,0.561626,0.893583,1.000000,0.830010,0.824870,0.743265,0.699746,0.000894,0.003493,-0.089363,-0.147429,-0.002788,-0.037835,-0.203037,-0.082559,-0.059900,-0.042198,-0.279847,0.493196,0.526449,-0.347766,-0.405679,0.623656,-0.565922,-0.283681,-0.325207,-0.334954,-0.291198,-0.133379,-0.134455,-0.409090,-0.038174,0.329160,0.707189,0.815026,0.722581,-0.398592,-0.301367,-0.058749,0.272485,0.169362,0.039818,-0.076519,-0.101172,-0.148291,-0.073029,-0.052217,-0.044697,-0.071776,-0.024721,-0.024286,-0.022095,-0.022887,-0.260442,0.373058,-0.307433,-0.125587,-0.168721,0.345577,0.120324,0.180128,-0.031457,-0.002236,0.004495,-0.028517,-0.008501,-0.013712,-0.017624,-0.008998,-0.009218,-0.010184,-0.024817,0.002342,-0.007603,-0.009043,-0.007333,-0.012858,-0.007328,-0.012084
0.687228,0.705485,0.825028,0.830010,1.000000,0.885181,0.691866,0.827915,-0.008489,0.001915,-0.057050,-0.105148,-0.010107,-0.017861,-0.158742,-0.041760,-0.033274,-0.021813,-0.205487,0.362168,0.455534,-0.179397,-0.294875,0.502850,-0.427298,-0.244911,-0.254747,-0.262183,-0.214516,-0.056301,-0.006537,-0.316357,-0.016197,0.409807,0.537721,0.814266,0.898784,-0.343431,-0.195028,-0.005770,0.311729,0.162966,0.057358,-0.023626,-0.053254,-0.086483,-0.019995,-0.013451,-0.010994,-0.053501,0.010006,-0.006075,-0.000689,-0.002176,-0.206378,0.323552,-0.233853,-0.099043,-0.150523,0.246006,0.089633,0.130216,-0.007702,-0.007612,-0.002582,-0.011146,-0.000706,-0.004686,-0.006475,-0.002889,-0.004926,-0.002328,-0.012229,-0.006491,-0.005292,-0.008355,-0.004699,-0.010332,-0.005125,-0.009587
0.806979,0.722155,0.709181,0.824870,0.885181,1.000000,0.611042,0.763501,-0.003191,-0.001003,-0.066271,-0.109556,-0.004085,-0.026841,-0.141753,-0.046640,-0.038016,-0.028599,-0.203709,0.348009,0.384105,-0.159812,-0.271670,0.428360,-0.395433,-0.200170,-0.220121,-0.230364,-0.199929,-0.058776,-0.025352,-0.300766,-0.033142,0.399598,0.450610,0.686875,0.810832,-0.321943,-0.188901,-0.036881,0.241292,0.107694,0.020763,-0.044984,-0.065144,-0.092756,-0.044622,-0.036464,-0.031526,-0.052047,-0.015190,-0.020719,-0.016270,-0.017995,-0.179330,0.267620,-0.222872,-0.089497,-0.119539,0.197448,0.068623,0.101373,-0.019862,-0.011170,-0.006769,-0.019031,-0.006831,-0.010343,-0.011721,-0.005796,-0.006208,-0.006982,-0.014847,-0.007595,-0.005769,-0.007613,-0.004732,-0.009428,-0.005196,-0.008369
0.443629,0.570000,0.810068,0.743265,0.691866,0.611042,1.000000,0.779701,-0.089690,0.110172,0.023661,-0.044354,-0.095281,0.050951,-0.147459,0.025432,0.034299,0.045199,-0.187934,0.428575,0.683419,-0.267341,-0.319619,0.573841,-0.451708,-0.398453,-0.268411,-0.261326,-0.199514,-0.026396,0.021086,-0.172901,0.172333,0.266588,0.702642,0.713677,0.595527,-0.066526,0.047192,0.284531,0.534830,0.544176,0.372779,0.250665,0.227190,0.188627,0.316410,0.285880,0.277292,0.017875,0.423852,0.237540,0.220039,0.231944,-0.215096,0.510042,-0.104679,-0.106994,-0.293192,0.354639,0.130438,0.184006,0.204115,0.028693,0.020928,0.039523,0.035724,0.033483,0.033109,0.015462,0.011735,0.048582,0.048946,-0.028990,-0.026639,-0.037631,0.000720,0.012527,0.006103,0.005586
0.609681,0.774967,0.687910,0.699746,0.827915,0.763501,0.779701,1.000000,-0.085639,0.075312,0.027752,-0.024926,-0.087566,0.045187,-0.099189,0.041013,0.035625,0.040604,-0.125357,0.284939,0.499053,-0.094572,-0.202483,0.393444,-0.312938,-0.295684,-0.174355,-0.172489,-0.128196,0.033582,0.147372,-0.113344,0.135142,0.343282,0.437416,0.696819,0.740222,-0.017788,0.109825,0.341802,0.573281,0.413415,0.295958,0.283574,0.207448,0.187301,0.278278,0.248231,0.236999,0.018775,0.290763,0.190582,0.186506,0.194287,-0.144298,0.376143,-0.060793,-0.076540,-0.225109,0.200819,0.079659,0.106306,0.173940,-0.008656,-0.013260,0.043502,0.024243,0.022345,0.023379,0.008241,0.004335,0.035373,0.035453,-0.045699,-0.023458,-0.031097,0.003332,0.011660,0.007295,0.006459
-0.005110,-0.069944,-0.007542,0.000894,-0.008489,-0.003191,-0.089690,-0.085639,1.000000,-0.509831,0.060052,0.237563,0.438310,0.147482,0.468362,0.327436,0.515831,0.294733,0.098311,0.000921,-0.181121,0.071948,0.144864,-0.076106,0.155329,0.564059,0.290157,0.502010,0.484541,0.312288,0.003094,0.163338,0.215417,-0.003115,-0.007806,-0.007706,-0.006795,-0.171192,-0.204438,-0.201203,-0.171556,-0.193821,-0.264657,-0.219889,-0.140651,-0.195980,-0.245364,-0.259597,-0.282702,0.020667,-0.156458,-0.361234,-0.321916,-0.385053,0.506724,-0.395049,0.170910,0.286769,0.467205,0.012988,-0.296773,-0.081292,-0.194971,-0.039109,-0.048810,0.036036,-0.076768,-0.057741,-0.052192,-0.049839,-0.032603,-0.062475,-0.061634,0.031553,0.004904,0.018523,0.048499,0.040914,0.087266,0.057459
0.002820,0.063115,0.019967,0.003493,0.001915,-0.001003,0.110172,0.075312,-0.509831,1.000000,-0.028524,-0.172342,-0.297740,-0.057534,-0.367997,-0.202122,-0.297487,-0.150762,-0.196363,0.030365,0.296876,-0.203983,-0.314108,0.182626,-0.336073,-0.546217,-0.574880,-0.495798,-0.546851,-0.317604,-0.153283,-0.184137,-0.234234,0.001549,0.053533,-0.000439,0.001751,0.168152,0.188228,0.191680,0.158797,0.213509,0.317758,0.217031,0.146262,0.147647,0.251632,0.282428,0.295472,-0.006471,0.172330,0.402663,0.291258,0.336684,-0.568010,0.546740,-0.161279,-0.229013,-0.424998,0.029735,0.359772,0.213616,0.199936,0.052639,0.058909,-0.025898,0.070273,0.058619,0.053877,0.052073,0.045068,0.066373,0.060769,-0.002055,-0.004075,0.009279,-0.054920,-0.001463,-0.030117,-0.008896
