predictor_a,predictor_b,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
X_feature_price_bb_pct5,X_feature_price_price_to_min5,0.799679,0.833463,0.813631,0.771684,0.769619,0.756406,0.772411,0.802582,0.790667,0.770435,0.777774,0.728780,0.761850,0.726883,0.754079,0.735259,0.752882,0.765109,0.773828,0.809363,0.795411,0.744586,0.751825,0.775051
X_feature_price_bb_pct5,X_feature_price_price_to_ma21,0.492346,0.532047,0.524563,0.472633,0.491678,0.475457,0.491718,0.478328,0.476565,0.477093,0.466424,0.447832,0.473439,0.453508,0.472672,0.464915,0.471182,0.495724,0.484238,0.514615,0.509689,0.494904,0.473089,0.505649
X_feature_price_bb_pct5,X_feature_price_bb_pct21,0.614557,0.634955,0.623571,0.605471,0.610010,0.592072,0.607793,0.587396,0.584290,0.584437,0.591402,0.567124,0.616991,0.560048,0.581720,0.584892,0.586690,0.597304,0.590907,0.617061,0.615218,0.601401,0.607587,0.605080
X_feature_price_bb_pct5,X_feature_price_price_to_ma10,0.706172,0.729537,0.727828,0.685278,0.691627,0.676183,0.689055,0.691973,0.689905,0.671166,0.676169,0.650591,0.679270,0.638610,0.681049,0.665966,0.674461,0.689228,0.679356,0.721329,0.706823,0.692617,0.675346,0.704799
X_feature_price_bb_pct5,X_feature_price_bb_pct10,0.825070,0.833383,0.826684,0.813729,0.817373,0.801247,0.814504,0.802350,0.804144,0.789639,0.797582,0.791428,0.820627,0.768269,0.800240,0.785734,0.797651,0.805666,0.802369,0.821295,0.820194,0.807719,0.809280,0.811636
X_feature_price_bb_pct5,X_feature_price_price_to_min21,0.464367,0.514785,0.478730,0.451306,0.488026,0.404292,0.443867,0.448484,0.420492,0.450076,0.483401,0.373701,0.411310,0.419744,0.416548,0.395716,0.423826,0.463165,0.452558,0.458090,0.500378,0.445689,0.389604,0.449190
X_feature_price_bb_pct5,X_feature_price_price_to_min10,0.627900,0.673429,0.642129,0.609141,0.632535,0.586712,0.610589,0.626366,0.606843,0.607980,0.635272,0.549062,0.593755,0.574190,0.592674,0.570119,0.592475,0.626563,0.610209,0.631694,0.652654,0.592647,0.572428,0.614394
X_feature_price_bb_pct5,X_feature_price_high_to_initial126_exclude21,-0.031514,-0.048920,-0.001982,-0.021928,0.025366,0.011457,0.000704,-0.026738,0.002388,-0.018083,-0.016165,0.032845,0.024346,-0.020894,0.011140,0.010831,0.020988,-0.022609,-0.006815,0.008692,-0.019640,0.002050,-0.011279,-0.031071
X_feature_price_bb_pct5,X_feature_price_high_to_initial90_exclude10,0.017640,0.042170,0.003443,0.011507,-0.022012,-0.006120,-0.004716,0.021007,-0.013981,0.024429,0.004080,-0.023611,-0.020032,0.015293,-0.026114,-0.013428,-0.024150,0.033871,0.001222,-0.000589,0.034806,-0.022011,0.003263,0.036055
X_feature_price_bb_pct5,X_feature_price_freq_loss_fl756,-0.030582,0.004572,-0.036821,-0.031452,-0.066471,-0.050909,-0.069290,-0.052826,-0.037184,-0.037562,-0.057365,-0.024286,-0.053819,-0.074005,-0.031202,-0.052754,-0.047220,-0.093539,-0.040081,-0.080064,-0.050894,-0.052091,-0.101829,-0.043036
X_feature_price_bb_pct5,X_feature_price_freq_loss_fl252,-0.088422,-0.086171,-0.102586,-0.056943,-0.104801,-0.073226,-0.093052,-0.082125,-0.076137,-0.068709,-0.073537,-0.060484,-0.080259,-0.093015,-0.064245,-0.096705,-0.059393,-0.128170,-0.067084,-0.109311,-0.080925,-0.071380,-0.112396,-0.086891
X_feature_price_bb_pct5,X_feature_price_high_to_initial252_exclude21,-0.037183,-0.078321,0.040773,0.009313,-0.008990,0.007800,0.007446,-0.024718,0.023031,-0.001797,-0.016552,0.011289,0.004004,-0.016825,-0.014777,0.000543,0.029147,-0.037912,0.027694,0.010871,0.004612,0.015353,-0.055491,0.015299
X_feature_price_bb_pct5,X_feature_price_trend_streak200_504,-0.027430,-0.029787,0.035383,0.029649,-0.050847,-0.022241,-0.030792,-0.021857,-0.012895,-0.013548,-0.027368,-0.000447,-0.005049,-0.040868,-0.005842,-0.014692,-0.002585,-0.069920,0.004901,-0.055601,0.007123,-0.013975,-0.085764,-0.025670
X_feature_price_bb_pct5,X_feature_price_ret252_shift0,-0.125379,-0.141695,-0.099964,-0.066644,-0.119255,-0.070973,-0.094733,-0.098951,-0.087826,-0.103161,-0.109308,-0.058936,-0.081306,-0.122380,-0.076232,-0.092482,-0.061557,-0.150114,-0.094424,-0.094080,-0.112372,-0.081528,-0.150466,-0.074947
X_feature_price_bb_pct5,X_feature_price_macd_21_252,-0.049775,-0.048819,-0.018165,0.013394,-0.047248,-0.018250,-0.029329,-0.026896,-0.024249,-0.030849,-0.036275,-0.002773,-0.025156,-0.057068,-0.003651,-0.028316,-0.004986,-0.081174,-0.015443,-0.054960,-0.029873,-0.010751,-0.092866,-0.022180
X_feature_price_bb_pct5,X_feature_price_trend_streak200_126,-0.049421,-0.044518,-0.038663,0.001606,-0.033199,-0.010303,-0.025170,-0.025580,-0.024100,-0.029028,-0.030952,0.006507,-0.020312,-0.048905,-0.000412,-0.037880,0.001066,-0.071791,-0.012133,-0.033819,-0.031701,-0.006492,-0.073271,-0.031773
X_feature_price_bb_pct5,X_feature_price_trend_streak200_252,-0.044510,-0.051251,0.005059,0.020371,-0.050173,-0.007083,-0.022657,-0.022995,-0.006975,-0.009282,-0.029780,-0.002606,-0.016271,-0.050671,0.000057,-0.030582,0.010662,-0.072292,0.009905,-0.036655,-0.010266,-0.003571,-0.080146,-0.006682
X_feature_price_bb_pct5,X_feature_price_freq_loss_fl63,-0.148159,-0.163903,-0.183263,-0.140324,-0.150236,-0.142737,-0.162630,-0.149941,-0.157661,-0.150865,-0.136223,-0.115089,-0.145502,-0.134072,-0.128125,-0.155657,-0.140514,-0.185332,-0.169621,-0.179100,-0.168597,-0.147968,-0.160237,-0.171590
X_feature_price_bb_pct5,X_feature_price_freq_loss_fl21,0.256544,0.281437,0.283421,0.260899,0.253457,0.251724,0.256902,0.256918,0.262111,0.241046,0.230962,0.212559,0.241737,0.220003,0.241236,0.247071,0.243300,0.264331,0.267469,0.272186,0.278828,0.260595,0.237290,0.262244
X_feature_price_bb_pct5,X_feature_price_price_to_min63,0.295939,0.340107,0.308806,0.273520,0.307075,0.212113,0.262924,0.265809,0.246021,0.286148,0.348981,0.182198,0.246801,0.256504,0.239176,0.199948,0.229553,0.303705,0.285527,0.250430,0.334914,0.263248,0.213974,0.266104
X_feature_price_bb_pct5,X_feature_price_macd_10_21,-0.066459,-0.105945,-0.108795,-0.065030,-0.069381,-0.042320,-0.066777,-0.072569,-0.077510,-0.090498,-0.050246,-0.038272,-0.066708,-0.080060,-0.036489,-0.075022,-0.061475,-0.122083,-0.091986,-0.084811,-0.115455,-0.067435,-0.060985,-0.095703
X_feature_price_bb_pct5,X_feature_price_sharpe_ratio_compound_r63_volatility63_rolling,-0.186484,-0.215850,-0.211228,-0.115169,-0.187600,-0.163465,-0.191154,-0.175169,-0.184130,-0.191933,-0.177689,-0.141590,-0.180689,-0.181595,-0.144309,-0.178237,-0.157266,-0.230628,-0.194406,-0.191520,-0.220105,-0.160471,-0.183351,-0.212504
X_feature_price_bb_pct5,X_feature_price_price_to_ma63,0.289338,0.326184,0.321807,0.274334,0.284754,0.263290,0.288457,0.275550,0.279992,0.286674,0.262494,0.250519,0.285529,0.275302,0.252114,0.269696,0.263929,0.313468,0.301053,0.294314,0.328022,0.280820,0.262109,0.313265
X_feature_price_bb_pct5,X_feature_price_bb_pct126,-0.274605,-0.293353,-0.292037,-0.243207,-0.260415,-0.256428,-0.268664,-0.252148,-0.258095,-0.267149,-0.260729,-0.236289,-0.268222,-0.270797,-0.221803,-0.276610,-0.241674,-0.297689,-0.275991,-0.275300,-0.301599,-0.237869,-0.272148,-0.312752
X_feature_price_bb_pct5,X_feature_price_price_to_min252,-0.173998,-0.186462,-0.166013,-0.169882,-0.148292,-0.089209,-0.113238,-0.130952,-0.111454,-0.150796,-0.259198,-0.093957,-0.091993,-0.142326,-0.099177,-0.084935,-0.081230,-0.182773,-0.174177,-0.107978,-0.174445,-0.130251,-0.145186,-0.107281
X_feature_price_bb_pct5,X_feature_price_ret90_shift0,-0.159197,-0.171234,-0.192820,-0.135569,-0.142999,-0.123018,-0.150122,-0.143139,-0.140729,-0.163192,-0.138150,-0.096379,-0.146328,-0.146468,-0.099945,-0.132596,-0.125014,-0.195416,-0.166276,-0.157068,-0.189334,-0.123238,-0.145406,-0.185648
X_feature_price_bb_pct5,X_feature_price_price_to_ma252,-0.173934,-0.189810,-0.192906,-0.124559,-0.158442,-0.126065,-0.160309,-0.150463,-0.156928,-0.167844,-0.152239,-0.102339,-0.149928,-0.163827,-0.118086,-0.143053,-0.129752,-0.198955,-0.169514,-0.154595,-0.189879,-0.132784,-0.179040,-0.184001
X_feature_price_bb_pct5,X_feature_price_sharpe_ratio_compound_r126_volatility126_rolling,-0.151582,-0.164597,-0.174816,-0.086470,-0.107774,-0.116203,-0.136700,-0.138168,-0.138497,-0.148762,-0.144933,-0.093624,-0.126670,-0.140715,-0.089864,-0.133671,-0.121226,-0.180648,-0.157111,-0.146500,-0.169703,-0.107256,-0.156974,-0.169253
X_feature_price_bb_pct5,X_feature_price_macd_21_126,-0.034766,-0.054359,-0.049505,-0.009443,-0.035549,-0.010713,-0.025567,-0.034121,-0.026168,-0.032010,-0.026776,-0.007325,-0.011971,-0.037395,-0.000008,-0.020225,-0.014194,-0.082455,-0.040759,-0.044678,-0.050214,-0.021226,-0.077421,-0.032761
X_feature_price_bb_pct5,X_feature_price_final_to_high90_exclude10,-0.016374,-0.001503,-0.069494,0.000479,-0.030706,-0.000157,-0.023330,-0.011901,-0.035464,-0.031095,-0.001329,0.013876,-0.025062,-0.039339,0.014388,-0.038936,-0.010302,-0.069233,-0.038152,-0.044064,-0.054623,-0.009985,-0.038597,-0.034597
X_feature_price_bb_pct5,X_feature_price_price_to_max252,-0.229431,-0.195367,-0.228891,-0.117975,-0.159998,-0.206524,-0.254655,-0.217370,-0.230625,-0.236686,-0.136893,-0.126585,-0.250936,-0.230219,-0.150728,-0.308912,-0.231094,-0.243782,-0.190353,-0.265095,-0.243593,-0.173752,-0.220417,-0.301982
X_feature_price_bb_pct5,X_feature_price_final_to_high252_exclude21,-0.026162,-0.004779,-0.070973,0.000089,-0.036798,-0.004229,-0.019894,-0.013707,-0.039809,-0.034138,-0.027075,0.005324,-0.037477,-0.048297,0.003720,-0.043763,-0.008528,-0.084488,-0.028664,-0.045911,-0.042849,-0.012275,-0.053406,-0.026850
