position_0,position_1,position_2,position_3,height_0,height_1,height_2,height_3
25.000000,25.000000,35.000000,35.000000,0.000000,0.384737,0.384737,0.000000
15.000000,15.000000,30.000000,30.000000,0.000000,0.499137,0.499137,0.384737
5.000000,5.000000,22.500000,22.500000,0.000000,0.639611,0.639611,0.499137
55.000000,55.000000,65.000000,65.000000,0.000000,0.143153,0.143153,0.000000
45.000000,45.000000,60.000000,60.000000,0.000000,0.270268,0.270268,0.143153
75.000000,75.000000,85.000000,85.000000,0.000000,0.115025,0.115025,0.000000
95.000000,95.000000,105.000000,105.000000,0.000000,0.180487,0.180487,0.000000
115.000000,115.000000,125.000000,125.000000,0.000000,0.127876,0.127876,0.000000
165.000000,165.000000,175.000000,175.000000,0.000000,0.123785,0.123785,0.000000
155.000000,155.000000,170.000000,170.000000,0.000000,0.233724,0.233724,0.123785
145.000000,145.000000,162.500000,162.500000,0.000000,0.356006,0.356006,0.233724
135.000000,135.000000,153.750000,153.750000,0.000000,0.408534,0.408534,0.356006
120.000000,120.000000,144.375000,144.375000,0.127876,0.496671,0.496671,0.408534
100.000000,100.000000,132.187500,132.187500,0.180487,0.656964,0.656964,0.496671
80.000000,80.000000,116.093750,116.093750,0.115025,0.700187,0.700187,0.656964
52.500000,52.500000,98.046875,98.046875,0.270268,0.816943,0.816943,0.700187
195.000000,195.000000,205.000000,205.000000,0.000000,0.392099,0.392099,0.000000
215.000000,215.000000,225.000000,225.000000,0.000000,0.227743,0.227743,0.000000
235.000000,235.000000,245.000000,245.000000,0.000000,0.220299,0.220299,0.000000
265.000000,265.000000,275.000000,275.000000,0.000000,0.106417,0.106417,0.000000
255.000000,255.000000,270.000000,270.000000,0.000000,0.150815,0.150815,0.106417
295.000000,295.000000,305.000000,305.000000,0.000000,0.101216,0.101216,0.000000
285.000000,285.000000,300.000000,300.000000,0.000000,0.151993,0.151993,0.101216
262.500000,262.500000,292.500000,292.500000,0.150815,0.248678,0.248678,0.151993
240.000000,240.000000,277.500000,277.500000,0.220299,0.284870,0.284870,0.248678
220.000000,220.000000,258.750000,258.750000,0.227743,0.396957,0.396957,0.284870
200.000000,200.000000,239.375000,239.375000,0.392099,0.552948,0.552948,0.396957
185.000000,185.000000,219.687500,219.687500,0.000000,0.682608,0.682608,0.552948
325.000000,325.000000,335.000000,335.000000,0.000000,0.313772,0.313772,0.000000
315.000000,315.000000,330.000000,330.000000,0.000000,0.544607,0.544607,0.313772
365.000000,365.000000,375.000000,375.000000,0.000000,0.259325,0.259325,0.000000
355.000000,355.000000,370.000000,370.000000,0.000000,0.348184,0.348184,0.259325
395.000000,395.000000,405.000000,405.000000,0.000000,0.210168,0.210168,0.000000
415.000000,415.000000,425.000000,425.000000,0.000000,0.167182,0.167182,0.000000
435.000000,435.000000,445.000000,445.000000,0.000000,0.212647,0.212647,0.000000
465.000000,465.000000,475.000000,475.000000,0.000000,0.106104,0.106104,0.000000
495.000000,495.000000,505.000000,505.000000,0.000000,0.065412,0.065412,0.000000
485.000000,485.000000,500.000000,500.000000,0.000000,0.129345,0.129345,0.065412
470.000000,470.000000,492.500000,492.500000,0.106104,0.159332,0.159332,0.129345
455.000000,455.000000,481.250000,481.250000,0.000000,0.231755,0.231755,0.159332
440.000000,440.000000,468.125000,468.125000,0.212647,0.266287,0.266287,0.231755
420.000000,420.000000,454.062500,454.062500,0.167182,0.328015,0.328015,0.266287
400.000000,400.000000,437.031250,437.031250,0.210168,0.363884,0.363884,0.328015
385.000000,385.000000,418.515625,418.515625,0.000000,0.402860,0.402860,0.363884
362.500000,362.500000,401.757812,401.757812,0.348184,0.453174,0.453174,0.402860
345.000000,345.000000,382.128906,382.128906,0.000000,0.480863,0.480863,0.453174
515.000000,515.000000,525.000000,525.000000,0.000000,0.490169,0.490169,0.000000
535.000000,535.000000,545.000000,545.000000,0.000000,0.224243,0.224243,0.000000
555.000000,555.000000,565.000000,565.000000,0.000000,0.286263,0.286263,0.000000
540.000000,540.000000,560.000000,560.000000,0.224243,0.398720,0.398720,0.286263
615.000000,615.000000,625.000000,625.000000,0.000000,0.162111,0.162111,0.000000
605.000000,605.000000,620.000000,620.000000,0.000000,0.240406,0.240406,0.162111
595.000000,595.000000,612.500000,612.500000,0.000000,0.319480,0.319480,0.240406
655.000000,655.000000,665.000000,665.000000,0.000000,0.109435,0.109435,0.000000
645.000000,645.000000,660.000000,660.000000,0.000000,0.147613,0.147613,0.109435
635.000000,635.000000,652.500000,652.500000,0.000000,0.220828,0.220828,0.147613
695.000000,695.000000,705.000000,705.000000,0.000000,0.153777,0.153777,0.000000
685.000000,685.000000,700.000000,700.000000,0.000000,0.179296,0.179296,0.153777
675.000000,675.000000,692.500000,692.500000,0.000000,0.230058,0.230058,0.179296
643.750000,643.750000,683.750000,683.750000,0.220828,0.353439,0.353439,0.230058
603.750000,603.750000,663.750000,663.750000,0.319480,0.410146,0.410146,0.353439
585.000000,585.000000,633.750000,633.750000,0.000000,0.473393,0.473393,0.410146
575.000000,575.000000,609.375000,609.375000,0.000000,0.531501,0.531501,0.473393
550.000000,550.000000,592.187500,592.187500,0.398720,0.572124,0.572124,0.531501
715.000000,715.000000,725.000000,725.000000,0.000000,0.393382,0.393382,0.000000
765.000000,765.000000,775.000000,775.000000,0.000000,0.207247,0.207247,0.000000
755.000000,755.000000,770.000000,770.000000,0.000000,0.236702,0.236702,0.207247
745.000000,745.000000,762.500000,762.500000,0.000000,0.274603,0.274603,0.236702
785.000000,785.000000,795.000000,795.000000,0.000000,0.296202,0.296202,0.000000
753.750000,753.750000,790.000000,790.000000,0.274603,0.413608,0.413608,0.296202
735.000000,735.000000,771.875000,771.875000,0.000000,0.500363,0.500363,0.413608
720.000000,720.000000,753.437500,753.437500,0.393382,0.590152,0.590152,0.500363
571.093750,571.093750,736.718750,736.718750,0.572124,0.664451,0.664451,0.590152
520.000000,520.000000,653.906250,653.906250,0.490169,0.709878,0.709878,0.664451
363.564453,363.564453,586.953125,586.953125,0.480863,0.785343,0.785343,0.709878
322.500000,322.500000,475.258789,475.258789,0.544607,0.841386,0.841386,0.785343
202.343750,202.343750,398.879395,398.879395,0.682608,0.846323,0.846323,0.841386
75.273438,75.273438,300.611572,300.611572,0.816943,0.938457,0.938457,0.846323
13.750000,13.750000,187.942505,187.942505,0.639611,0.961917,0.961917,0.938457
