predictor,theme,family,sign,mean_ic
X_feature_price_bb_pct5,Momentum & trend,price_position,-1.000000,-0.015037
X_feature_price_price_to_min5,Momentum & trend,price_position,-1.000000,-0.028185
X_feature_price_price_to_ma21,Momentum & trend,trend,-1.000000,-0.016043
X_feature_price_bb_pct21,Momentum & trend,price_position,-1.000000,-0.016175
X_feature_price_price_to_ma10,Momentum & trend,trend,-1.000000,-0.018257
X_feature_price_bb_pct10,Momentum & trend,price_position,-1.000000,-0.017147
X_feature_price_price_to_min21,Momentum & trend,price_position,-1.000000,-0.032115
X_feature_price_price_to_min10,Momentum & trend,price_position,-1.000000,-0.031363
X_feature_price_high_to_initial126_exclude21,Momentum & trend,price_position,1.000000,0.002516
X_feature_price_high_to_initial90_exclude10,Momentum & trend,price_position,-1.000000,-0.005959
X_feature_price_freq_loss_fl756,Momentum & trend,loss_frequency,-1.000000,-0.027145
X_feature_price_freq_loss_fl252,Momentum & trend,loss_frequency,-1.000000,-0.025473
X_feature_price_high_to_initial252_exclude21,Momentum & trend,price_position,1.000000,0.005152
X_feature_price_trend_streak200_504,Momentum & trend,trend,1.000000,0.031735
X_feature_price_ret252_shift0,Momentum & trend,momentum,1.000000,0.022154
X_feature_price_macd_21_252,Momentum & trend,trend,1.000000,0.027542
X_feature_price_trend_streak200_126,Momentum & trend,trend,1.000000,0.030050
X_feature_price_trend_streak200_252,Momentum & trend,trend,1.000000,0.028512
X_feature_price_freq_loss_fl63,Momentum & trend,loss_frequency,-1.000000,-0.009131
X_feature_price_freq_loss_fl21,Momentum & trend,loss_frequency,1.000000,0.006273
X_feature_price_price_to_min63,Momentum & trend,price_position,-1.000000,-0.023421
X_feature_price_macd_10_21,Momentum & trend,trend,-1.000000,-0.001122
X_feature_price_sharpe_ratio_compound_r63_volatility63_rolling,Momentum & trend,risk_adjusted_returns,1.000000,0.006683
X_feature_price_price_to_ma63,Momentum & trend,trend,-1.000000,-0.007263
X_feature_price_bb_pct126,Momentum & trend,price_position,1.000000,0.004651
X_feature_price_price_to_min252,Momentum & trend,price_position,1.000000,0.001745
X_feature_price_ret90_shift0,Momentum & trend,momentum,1.000000,0.005703
X_feature_price_price_to_ma252,Momentum & trend,trend,1.000000,0.017643
X_feature_price_sharpe_ratio_compound_r126_volatility126_rolling,Momentum & trend,risk_adjusted_returns,1.000000,0.019907
X_feature_price_macd_21_126,Momentum & trend,trend,1.000000,0.021034
X_feature_price_final_to_high90_exclude10,Momentum & trend,price_position,1.000000,0.023382
X_feature_price_price_to_max252,Momentum & trend,price_position,1.000000,0.027999
X_feature_price_final_to_high252_exclude21,Momentum & trend,price_position,1.000000,0.034655
X_feature_price_lag1,Short-term reversal,reversal,-1.000000,-0.010238
X_feature_price_ret21_shift0,Short-term reversal,reversal,-1.000000,-0.011966
X_feature_price_ret10_shift0,Short-term reversal,reversal,-1.000000,-0.014889
X_feature_price_ret5_shift0,Short-term reversal,reversal,-1.000000,-0.016243
X_feature_price_downside_vol10,Volatility,volatility,-1.000000,-0.026296
X_feature_price_downside_vol21,Volatility,volatility,-1.000000,-0.032503
X_feature_price_vol10,Volatility,volatility,-1.000000,-0.037722
X_feature_price_upside_vol10,Volatility,volatility,-1.000000,-0.037342
X_feature_price_upside_vol21,Volatility,volatility,-1.000000,-0.038856
X_feature_price_upside_vol63,Volatility,volatility,-1.000000,-0.035422
X_feature_price_atr5,Volatility,volatility,-1.000000,-0.041028
X_feature_price_downside_vol126,Volatility,volatility,-1.000000,-0.038834
X_feature_price_downside_vol63,Volatility,volatility,-1.000000,-0.036266
X_feature_price_atr21,Volatility,volatility,-1.000000,-0.043255
X_feature_price_atr126,Volatility,volatility,-1.000000,-0.041816
X_feature_price_vol252,Volatility,volatility,-1.000000,-0.035105
X_feature_market_cap_log_identity,Size,size,1.000000,0.019153
X_feature_market_cap_log_std21,Size,size,-1.000000,-0.033979
X_feature_market_cap_log_std126,Size,size,-1.000000,-0.025011
X_feature_market_cap_log_std504,Size,size,-1.000000,-0.012829
X_feature_market_cap_log_std252,Size,size,-1.000000,-0.017515
X_feature_market_cap_log_diff_126,Size,size,1.000000,0.011887
X_feature_market_cap_log_to_min126,Size,size,-1.000000,-0.015159
X_feature_market_cap_log_to_max504,Size,size,1.000000,0.027668
X_feature_market_cap_log_diff_504,Size,size,1.000000,0.013416
X_feature_market_cap_log_to_min504,Size,size,1.000000,0.000737
X_feature_pv_pv_corr21,Liquidity & volume,price_volume_correlation,-1.000000,-0.012099
X_feature_pv_pv_corr126,Liquidity & volume,price_volume_correlation,-1.000000,-0.006976
X_feature_pv_pv_corr63,Liquidity & volume,price_volume_correlation,-1.000000,-0.011615
X_feature_liquidity_turnover_level63,Liquidity & volume,liquidity,-1.000000,-0.019912
X_feature_volume_log_volume_ratio_max126,Liquidity & volume,volume,1.000000,0.008293
X_feature_volume_log_volume_ratio_max252,Liquidity & volume,volume,1.000000,0.008263
X_feature_pv_illiquidity_mean21,Liquidity & volume,liquidity,-1.000000,-0.021763
X_feature_volume_log_volume_std504,Liquidity & volume,volume,-1.000000,-0.009945
X_feature_volume_log_volume_std126,Liquidity & volume,volume,-1.000000,-0.007579
X_feature_volume_log_volume_std63,Liquidity & volume,volume,-1.000000,-0.005021
X_feature_market_corr504,Market correlation,market_correlation,1.000000,0.012414
X_feature_market_corr252,Market correlation,market_correlation,1.000000,0.012141
X_feature_short_interest_to_volume_log_ratio_std252,Short positioning,short_interest,-1.000000,-0.004928
X_feature_short_interest_to_volume_log_ratio_std63,Short positioning,short_interest,-1.000000,-0.005893
X_feature_short_interest_to_volume_log_ratio,Short positioning,short_interest,-1.000000,-0.020255
X_feature_short_interest_to_volume_log_ratio_mean252,Short positioning,short_interest,-1.000000,-0.013493
X_feature_short_interest_to_volume_log_ratio_mean63,Short positioning,short_interest,-1.000000,-0.018710
X_feature_short_interest_log_diff21,Short positioning,short_interest,-1.000000,-0.007591
X_feature_short_interest_log_diff252,Short positioning,short_interest,-1.000000,-0.013820
X_feature_short_interest_log_diff63,Short positioning,short_interest,-1.000000,-0.010119
X_feature_short_interest_log_diff126,Short positioning,short_interest,-1.000000,-0.013634
