date,theme,ic
1998-01-02,Momentum & trend,0.006137
1998-01-02,Short-term reversal,0.093476
1998-01-02,Volatility,-0.014563
1998-01-02,Size,0.005910
1998-01-02,Liquidity & volume,0.058252
1998-01-02,Market correlation,0.029455
1998-01-02,Short positioning,0.077755
1998-01-09,Momentum & trend,0.079733
1998-01-09,Short-term reversal,0.110630
1998-01-09,Volatility,0.008861
1998-01-09,Size,0.050149
1998-01-09,Liquidity & volume,0.119643
1998-01-09,Market correlation,0.130707
1998-01-09,Short positioning,0.098900
1998-01-16,Momentum & trend,0.027845
1998-01-16,Short-term reversal,0.102947
1998-01-16,Volatility,0.075027
1998-01-16,Size,0.019922
1998-01-16,Liquidity & volume,0.072284
1998-01-16,Market correlation,0.101165
1998-01-16,Short positioning,0.074766
1998-01-26,Momentum & trend,0.061191
1998-01-26,Short-term reversal,0.108865
1998-01-26,Volatility,0.099328
1998-01-26,Size,0.068602
1998-01-26,Liquidity & volume,0.082267
1998-01-26,Market correlation,0.123032
1998-01-26,Short positioning,0.036607
1998-02-02,Momentum & trend,0.039902
1998-02-02,Short-term reversal,0.107510
1998-02-02,Volatility,0.137606
1998-02-02,Size,0.085611
1998-02-02,Liquidity & volume,0.051018
1998-02-02,Market correlation,0.062483
1998-02-02,Short positioning,-0.028841
1998-02-09,Momentum & trend,0.109526
1998-02-09,Short-term reversal,0.121777
1998-02-09,Volatility,0.144557
1998-02-09,Size,0.138957
1998-02-09,Liquidity & volume,0.077071
1998-02-09,Market correlation,0.103644
1998-02-09,Short positioning,-0.047447
1998-02-17,Momentum & trend,0.067561
1998-02-17,Short-term reversal,0.075002
1998-02-17,Volatility,0.053065
1998-02-17,Size,0.077579
1998-02-17,Liquidity & volume,0.090753
1998-02-17,Market correlation,0.120403
1998-02-17,Short positioning,-0.041183
1998-02-24,Momentum & trend,0.062880
1998-02-24,Short-term reversal,0.073540
1998-02-24,Volatility,0.085556
1998-02-24,Size,0.121164
1998-02-24,Liquidity & volume,0.131581
1998-02-24,Market correlation,0.144451
1998-02-24,Short positioning,0.025182
1998-03-03,Momentum & trend,0.080645
1998-03-03,Short-term reversal,0.027788
1998-03-03,Volatility,0.063156
1998-03-03,Size,0.112873
1998-03-03,Liquidity & volume,0.055711
1998-03-03,Market correlation,0.053599
1998-03-03,Short positioning,0.020328
1998-03-10,Momentum & trend,0.095653
1998-03-10,Short-term reversal,0.051942
1998-03-10,Volatility,0.072196
1998-03-10,Size,0.096071
1998-03-10,Liquidity & volume,0.043956
1998-03-10,Market correlation,0.045763
1998-03-10,Short positioning,0.058579
1998-03-17,Momentum & trend,0.087767
1998-03-17,Short-term reversal,0.094470
1998-03-17,Volatility,0.044024
1998-03-17,Size,0.061323
1998-03-17,Liquidity & volume,0.021703
1998-03-17,Market correlation,0.001776
1998-03-17,Short positioning,0.038081
1998-03-24,Momentum & trend,0.067613
1998-03-24,Short-term reversal,0.068502
1998-03-24,Volatility,-0.012630
1998-03-24,Size,-0.012947
1998-03-24,Liquidity & volume,-0.014100
1998-03-24,Market correlation,-0.026893
1998-03-24,Short positioning,0.002571
1998-03-31,Momentum & trend,0.048105
1998-03-31,Short-term reversal,0.149160
1998-03-31,Volatility,-0.072341
1998-03-31,Size,-0.068735
1998-03-31,Liquidity & volume,-0.039763
1998-03-31,Market correlation,-0.043166
1998-03-31,Short positioning,0.026583
1998-04-07,Momentum & trend,-0.016368
1998-04-07,Short-term reversal,0.113905
1998-04-07,Volatility,-0.071721
1998-04-07,Size,-0.062583
1998-04-07,Liquidity & volume,-0.007097
1998-04-07,Market correlation,-0.054194
1998-04-07,Short positioning,0.029045
1998-04-15,Momentum & trend,0.043170
1998-04-15,Short-term reversal,0.125009
1998-04-15,Volatility,-0.022623
1998-04-15,Size,0.002157
1998-04-15,Liquidity & volume,0.033450
1998-04-15,Market correlation,0.015976
1998-04-15,Short positioning,0.053307
1998-04-22,Momentum & trend,0.066580
1998-04-22,Short-term reversal,0.053494
1998-04-22,Volatility,-0.006138
1998-04-22,Size,0.059340
1998-04-22,Liquidity & volume,0.072050
1998-04-22,Market correlation,0.056892
1998-04-22,Short positioning,0.048724
1998-04-29,Momentum & trend,0.126600
1998-04-29,Short-term reversal,0.080621
1998-04-29,Volatility,0.072859
1998-04-29,Size,0.099001
1998-04-29,Liquidity & volume,0.144163
1998-04-29,Market correlation,0.115052
1998-04-29,Short positioning,0.076735
1998-05-06,Momentum & trend,0.167277
1998-05-06,Short-term reversal,0.078283
1998-05-06,Volatility,0.033582
1998-05-06,Size,0.109063
1998-05-06,Liquidity & volume,0.168612
1998-05-06,Market correlation,0.098442
1998-05-06,Short positioning,0.142669
1998-05-13,Momentum & trend,0.185146
1998-05-13,Short-term reversal,-0.002640
1998-05-13,Volatility,-0.008457
1998-05-13,Size,0.081929
1998-05-13,Liquidity & volume,0.122820
1998-05-13,Market correlation,0.047820
1998-05-13,Short positioning,0.120388
1998-05-20,Momentum & trend,0.156823
1998-05-20,Short-term reversal,-0.049180
1998-05-20,Volatility,-0.048219
1998-05-20,Size,0.060410
1998-05-20,Liquidity & volume,0.144428
1998-05-20,Market correlation,0.074311
1998-05-20,Short positioning,0.137816
1998-05-28,Momentum & trend,0.196926
1998-05-28,Short-term reversal,-0.130951
1998-05-28,Volatility,-0.062545
1998-05-28,Size,0.081326
1998-05-28,Liquidity & volume,0.065799
1998-05-28,Market correlation,0.098483
1998-05-28,Short positioning,0.114045
1998-06-04,Momentum & trend,0.221019
1998-06-04,Short-term reversal,-0.048052
1998-06-04,Volatility,-0.051019
1998-06-04,Size,0.071283
1998-06-04,Liquidity & volume,0.034413
1998-06-04,Market correlation,0.057319
1998-06-04,Short positioning,0.045218
1998-06-11,Momentum & trend,0.187690
1998-06-11,Short-term reversal,-0.116706
1998-06-11,Volatility,-0.019335
1998-06-11,Size,0.111611
1998-06-11,Liquidity & volume,0.034437
1998-06-11,Market correlation,0.074180
1998-06-11,Short positioning,0.038150
1998-06-18,Momentum & trend,0.151002
1998-06-18,Short-term reversal,-0.121011
1998-06-18,Volatility,-0.037887
1998-06-18,Size,0.066494
1998-06-18,Liquidity & volume,-0.025342
1998-06-18,Market correlation,-0.006540
1998-06-18,Short positioning,0.014950
1998-06-25,Momentum & trend,0.167440
1998-06-25,Short-term reversal,-0.061123
1998-06-25,Volatility,0.021117
1998-06-25,Size,0.094599
1998-06-25,Liquidity & volume,-0.013375
1998-06-25,Market correlation,-0.038713
1998-06-25,Short positioning,0.034277
1998-07-02,Momentum & trend,0.133678
1998-07-02,Short-term reversal,-0.029928
1998-07-02,Volatility,-0.031195
1998-07-02,Size,0.081737
1998-07-02,Liquidity & volume,0.033857
1998-07-02,Market correlation,0.025202
1998-07-02,Short positioning,0.029578
1998-07-10,Momentum & trend,0.028518
1998-07-10,Short-term reversal,0.005308
1998-07-10,Volatility,-0.069412
1998-07-10,Size,0.002107
1998-07-10,Liquidity & volume,-0.016275
1998-07-10,Market correlation,-0.041644
1998-07-10,Short positioning,0.000775
1998-07-17,Momentum & trend,0.066949
1998-07-17,Short-term reversal,0.016555
1998-07-17,Volatility,-0.025570
1998-07-17,Size,0.022344
1998-07-17,Liquidity & volume,-0.051955
1998-07-17,Market correlation,-0.054063
1998-07-17,Short positioning,0.057454
1998-07-24,Momentum & trend,0.089524
1998-07-24,Short-term reversal,-0.006428
1998-07-24,Volatility,0.005615
1998-07-24,Size,0.074850
1998-07-24,Liquidity & volume,0.033482
1998-07-24,Market correlation,0.038741
1998-07-24,Short positioning,0.132462
1998-07-31,Momentum & trend,0.158391
1998-07-31,Short-term reversal,-0.036963
1998-07-31,Volatility,0.040378
1998-07-31,Size,0.148512
1998-07-31,Liquidity & volume,0.111626
1998-07-31,Market correlation,0.060648
1998-07-31,Short positioning,0.114972
1998-08-07,Momentum & trend,0.071998
1998-08-07,Short-term reversal,-0.046418
1998-08-07,Volatility,0.026636
1998-08-07,Size,0.100233
1998-08-07,Liquidity & volume,0.081451
1998-08-07,Market correlation,0.026546
1998-08-07,Short positioning,0.114126
1998-08-14,Momentum & trend,0.128315
