fold,test_start,train_start,train_end,rows,squared_coefficient_distance,bottom72_coefficient_share,bottom72_predictor_variance_share,bottom72_score_difference_variance_share,score_difference_variance
0,1998-09-01,1995-01-10,1998-07-31,878614,0.013848240391141747,0.9900418617670971,0.04212669549502145,0.8917562700877267,0.00011276250284689231
1,2001-01-18,1995-01-10,2000-12-14,1459724,0.011636902079938664,0.9922297571905715,0.04066821133772446,0.9158220518413792,0.00009838740033184171
2,2003-06-11,1995-01-10,2003-05-09,2024090,0.007780256706100608,0.9925078174544905,0.040890900231789276,0.9108598129724881,0.0000659460867881891
3,2005-10-26,1995-01-10,2005-09-26,2617456,0.005167201291383106,0.9869084965809342,0.04012639317852235,0.8778662924948578,0.00005130739518286446
4,2008-03-18,1995-01-10,2008-02-14,3205981,0.004505296944655258,0.9861362994014358,0.039293205020329215,0.8761665573748905,0.00004493449550178799
5,2010-08-04,1995-01-10,2010-07-02,3791449,0.00598266839429382,0.9907681923052198,0.039954331138329996,0.9027805562824714,0.000050512337740539725
6,2012-12-20,1995-01-10,2012-11-19,4375976,0.005308330496636693,0.9900486339155734,0.039662169288922425,0.8952610181420124,0.000045122366272187004
7,2015-05-12,1995-01-10,2015-04-10,4980672,0.004639214209777821,0.9898105944225206,0.03942757826045316,0.893413453001015,0.00003981994784507764
8,2017-09-27,1995-01-10,2017-08-25,5583924,0.004010787363176469,0.9902057393803508,0.03919970515645335,0.8987611121826088,0.00003581462765313154
9,2020-02-18,1995-01-10,2020-01-15,6171913,0.004100960759773327,0.9917511818041264,0.03886222175045341,0.9117331949692025,0.00003534759735575641
10,2022-07-06,1995-01-10,2022-06-02,6777767,0.00501842027941732,0.9940309885845632,0.03898252433907839,0.9266903221274142,0.000038185505309096955
11,2024-11-21,1995-01-10,2024-10-22,7380569,0.004520873212407716,0.9940403365886967,0.038830858111710935,0.9292193732748016,0.00003567330030442953
