fold,test_start,rows,squared_coefficient_distance,bottom_half_directions,bottom_half_coefficient_share,bottom_half_predictor_variance_share,below_0p1_directions,below_0p1_coefficient_share,below_0p1_predictor_variance_share,score_difference_variance,bottom_half_score_difference_share
0,1998-09-03,878533,0.0018053575758921676,40,0.9568605343902081,0.06164051351901449,48,0.9906665729666297,0.0923455530795541,0.0000454451442830084,0.8401018388011814
1,2001-01-22,1459522,0.00142171630488279,40,0.975820185292151,0.05896458413217549,48,0.9879060158620662,0.08892794132486166,0.000035983840731369686,0.8842675666907388
2,2003-06-13,2023921,0.0008819568567746243,40,0.9680118145133565,0.05932886741210486,46,0.9834940009228246,0.08096459273331427,0.00002581429734969314,0.8671966212318833
3,2005-10-28,2617283,0.0008564497441651847,40,0.9774886758913582,0.058738622222042236,46,0.9897129707156713,0.08033461575950218,0.000024370357273084353,0.9028977522710471
4,2008-03-20,3205832,0.0006482726002435857,40,0.9744693392471956,0.057629004202702755,46,0.986636368221825,0.07900738657464294,0.000019382282848039456,0.8965955319001854
5,2010-08-06,3791264,0.0005899814937081634,40,0.9730706515080242,0.05876802242372238,45,0.9815339195996594,0.0765092842312409,0.000016661995432903337,0.8864465015273835
6,2012-12-24,4375798,0.0005283249767119186,40,0.9722777689060327,0.058331649551664526,45,0.9816604997745154,0.07597539863861169,0.000015758589823210568,0.8902501662627491
7,2015-05-14,4980577,0.00056171010697927,40,0.9779538291289539,0.05820238857800864,45,0.9845737418409967,0.07587633777750101,0.000015586132171846587,0.9045073760052308
8,2017-09-29,5583713,0.0005528691755561119,40,0.9767548481658505,0.05789890602983044,45,0.9839435905425737,0.07547199609619445,0.000014660723536814237,0.8962483169741189
9,2020-02-20,6171728,0.000523803812159847,40,0.9786511690247554,0.057506599473394655,45,0.9852601197152974,0.07499432002993396,0.000014241908866971966,0.9065889170797438
10,2022-07-08,6777613,0.0004215390741761641,40,0.9747227854123419,0.05777071978210522,44,0.9838242871805906,0.07134366746462853,0.000011897461279510795,0.8957742899477253
11,2024-11-25,7380379,0.0003996192375997484,40,0.9743664640333105,0.057504925830131705,44,0.9838655850153071,0.07100772385726431,0.000011220254971194827,0.8939977036051048
