feature,fold_id,test_date,coefficient,model,theme,description
X_feature_liquidity_turnover_level63,0,1998-09-03,0.026858991011977196,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,1,2001-01-22,0.019874073565006256,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,2,2003-06-13,0.014634788036346436,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,3,2005-10-28,0.01893233321607113,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,4,2008-03-20,0.013485454333325228,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,5,2010-08-06,0.01167830607543389,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,6,2012-12-24,0.008740033954381943,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,7,2015-05-14,0.009943173577388128,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,8,2017-09-29,0.007678940736999114,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,9,2020-02-20,0.004304954006026189,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,10,2022-07-08,0.004615943568448226,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_liquidity_turnover_level63,11,2024-11-25,0.0033737705865254006,ridge,Liquidity & volume,"turnover: dollar volume / market cap, 63-day level"
X_feature_market_cap_log_diff_126,0,1998-09-03,0.017301540821790695,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,1,2001-01-22,0.01363528830309709,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,2,2003-06-13,0.006592677440494299,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,3,2005-10-28,0.0009408881305716932,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,4,2008-03-20,-0.0014936678247371067,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,5,2010-08-06,-0.007906783993045488,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,6,2012-12-24,-0.011645112497111162,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,7,2015-05-14,-0.008696600484351317,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,8,2017-09-29,-0.005026531095306079,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,9,2020-02-20,-0.00412435798595349,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,10,2022-07-08,-0.0028756794054061174,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_126,11,2024-11-25,-0.0032339851992825666,ridge,Size,change in log market cap over 126 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,0,1998-09-03,-0.003964284590135018,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,1,2001-01-22,-0.01103391187886397,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,2,2003-06-13,-0.018981264904141426,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,3,2005-10-28,-0.004073622869327664,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,4,2008-03-20,-0.002370919566601515,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,5,2010-08-06,-0.013626347606380781,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,6,2012-12-24,-0.016016138717532158,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,7,2015-05-14,-0.017060970266660053,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,8,2017-09-29,-0.015507497824728489,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,9,2020-02-20,-0.013687487381199995,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,10,2022-07-08,-0.017521473889549572,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_diff_504,11,2024-11-25,-0.016973618417978287,ridge,Size,change in log market cap over 504 days (price return plus share-count change)
X_feature_market_cap_log_identity,0,1998-09-03,0.005498731043189764,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,1,2001-01-22,0.0012440647309025128,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,2,2003-06-13,-0.010510849145551523,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,3,2005-10-28,-0.0061273290775716305,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,4,2008-03-20,-0.005577041922758023,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,5,2010-08-06,-0.007553052001943191,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,6,2012-12-24,-0.00886513696362575,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,7,2015-05-14,-0.008519611321389675,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,8,2017-09-29,-0.01005167451997598,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,9,2020-02-20,-0.010113292373716831,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,10,2022-07-08,-0.009910311239461103,ridge,Size,firm size: log market cap
X_feature_market_cap_log_identity,11,2024-11-25,-0.009981837744514147,ridge,Size,firm size: log market cap
X_feature_market_cap_log_std126,0,1998-09-03,0.0001601001810437689,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,1,2001-01-22,0.005590182884285848,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,2,2003-06-13,0.010377163998782635,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,3,2005-10-28,0.0052437336804966135,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,4,2008-03-20,0.005641602134952943,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,5,2010-08-06,0.005741346472253402,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,6,2012-12-24,0.009812972818811735,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,7,2015-05-14,0.005857252205411593,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,8,2017-09-29,0.0038973049571116767,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,9,2020-02-20,0.0064470187450448675,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,10,2022-07-08,0.004736264236271381,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std126,11,2024-11-25,0.003783910612886151,ridge,Size,how much log market cap moved over 126 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,0,1998-09-03,-0.029037628322839737,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,1,2001-01-22,-0.01927163762350877,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,2,2003-06-13,-0.016595156242450077,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,3,2005-10-28,-0.015597742361327013,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,4,2008-03-20,-0.014039743381241957,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,5,2010-08-06,-0.013023740611970425,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,6,2012-12-24,-0.013171513564884663,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,7,2015-05-14,-0.013013701575497786,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,8,2017-09-29,-0.012150497486193975,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,9,2020-02-20,-0.007910716347396374,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
X_feature_market_cap_log_std21,10,2022-07-08,-0.006861495319753885,ridge,Size,how much log market cap moved over 21 days (std of the level: volatility plus trend)
