rank,feature,mean_coefficient,mean_absolute_coefficient,first_refit,last_refit,min,max,refits_with_mean_sign,refits_in_top10,ols_mean_coefficient,ols_refits_with_ridge_sign,theme,sign,mean_ic,description
1,X_feature_price_macd_10_21,-0.0298990738681621,0.0298990738681621,-0.03686938559015592,-0.019555851817131042,-0.03686938559015592,-0.019555851817131042,12,12,-0.03361834668450885,12,Momentum & trend,1.0,0.001142,MACD: 10-day vs 21-day moving-average gap
2,X_feature_price_sharpe_ratio_compound_r126_volatility126_rolling,0.02545445681446128,0.02545445681446128,0.02227233350276947,0.015397758533557257,0.015397758533557257,0.03730198244253794,12,10,0.030478015645510625,12,Momentum & trend,1.0,0.020234,126-day return divided by 126-day volatility
3,X_feature_market_cap_log_std504,0.023364125983789563,0.023364125983789563,0.017600469291210175,0.015717404273649056,0.015717404273649056,0.03437414144476255,12,11,0.029485397092584107,12,Size,-1.0,-0.011555,how much log market cap moved over 504 days (std of the level: volatility plus trend)
4,X_feature_pv_illiquidity_mean21,-0.021217925241217017,0.021217925241217017,-0.034343838691711426,-0.01812715580066045,-0.04121600463986397,-0.013486833311617374,12,11,-0.026370447284231584,12,Liquidity & volume,-1.0,-0.019458,"Amihud illiquidity: absolute return per dollar traded, 21-day mean"
5,X_feature_price_high_to_initial90_exclude10,-0.021059011781795155,0.021059011781795155,-0.04745635266105334,-0.009215187902251879,-0.04745635266105334,-0.009215187902251879,12,8,-0.023924717550269425,12,Momentum & trend,-1.0,-0.003243,90-day high relative to the price at the start of the window (skips last 10 days)
6,X_feature_short_interest_to_volume_log_ratio,-0.01959557965811756,0.01959557965811756,-0.019945357615749042,-0.015092389347652594,-0.025536068404714268,-0.015092389347652594,12,11,-0.021005170161111485,12,Short positioning,-1.0,-0.020869,days to cover today: short interest / volume (log)
7,X_feature_price_ret252_shift0,0.017679083484431937,0.017679083484431937,0.02847772091627121,0.003589850617572665,0.0033438066796710095,0.03818077594041824,12,5,0.022762801446434527,12,Momentum & trend,1.0,0.021323,total return over the last 252 days
8,X_feature_price_trend_streak200_504,0.016048281746205043,0.016048281746205043,0.01140262900541226,0.01848853627840678,0.0005970379376473526,0.022956565022468567,12,8,0.020033755572512746,12,Momentum & trend,1.0,0.030615,share of the last 504 days the price was above its 200-day average
9,X_feature_price_macd_21_252,-0.00936776124096165,0.01557242222285519,0.03722796589136124,-0.007424503254393737,-0.024746489400664966,0.03722796589136124,11,4,-0.010462562424234217,11,Momentum & trend,1.0,0.026325,MACD: 21-day vs 252-day moving-average gap
10,X_feature_price_freq_loss_fl21,0.014878946666916212,0.014878946666916212,0.025345863153537113,0.010123269011576971,0.009836389372746149,0.026115672662854195,12,3,0.01838282689762612,12,Momentum & trend,1.0,0.003194,share of down days over the last 21 days
