fold,offset,train_end,rows,predictors,below_0p1,below_0p01,variance_share_below_0p1,variance_share_below_0p01,min_eigenvalue,max_eigenvalue,trace,top10_variance_share,effective_df_c0p01
0,0,1998-08-04,292841,80,48,3,0.09226785237657899,0.0012500153473754044,0.008137367291357495,4.4870728042964085,21.981599087535503,0.7276991705774448,66.96062913149323
0,1,1998-08-04,292851,80,48,3,0.09237481940911081,0.0012301550514401008,0.007691584591112576,4.481613137350465,22.002197012828393,0.7274503048689196,66.96965359381562
0,2,1998-08-04,292841,80,48,3,0.09236404607870445,0.0012316260033905346,0.007708089690643628,4.492790304622891,22.03897601066403,0.7276975964582449,66.9771367304601
1,0,2000-12-18,486494,80,48,2,0.08893415928414143,0.0007357681242626333,0.007809606289624986,4.986743942074233,23.691165960432656,0.7339534445121411,67.2860878425223
1,1,2000-12-18,486508,80,48,2,0.0889575824072354,0.0007228557195856728,0.00753448242783446,4.974518463729325,23.69749941561841,0.7339172597116508,67.28482652397517
1,2,2000-12-18,486520,80,48,2,0.08887537242004212,0.0007208405438942109,0.007491164871718175,4.989969490157382,23.71896688616898,0.7342132086547437,67.27881150226511
2,0,2003-05-13,674579,80,46,2,0.08097362427414322,0.0006896217201329265,0.0076090835262738665,4.998031485366831,24.42101756842448,0.7307325150196639,67.64603989068038
2,1,2003-05-13,674675,80,46,2,0.0809791284806738,0.0006818143301242788,0.0074664395539631315,5.008159790512758,24.4264466259354,0.7307851244798144,67.64223266902582
2,2,2003-05-13,674667,80,46,2,0.08092765270987262,0.0006795237215784386,0.007415020253151965,4.996999099018026,24.442686166279554,0.7310100983764013,67.63986016856956
3,0,2005-09-28,872369,80,46,2,0.08033167982086982,0.0007127644396308009,0.008048951885356448,4.984675515093148,24.82983145316554,0.7310221400718958,67.73268015050014
3,1,2005-09-28,872471,80,46,2,0.08037604540732288,0.000707934639346232,0.00796302740710088,4.999812925111975,24.837892680945544,0.7309841047552277,67.7369739184411
3,2,2005-09-28,872443,80,46,2,0.08028437805237759,0.0007048108949966034,0.00788788231813543,4.9836374376112085,24.84798631381306,0.7312348805479624,67.72865932274746
4,0,2008-02-19,1068566,80,46,1,0.07902443134194134,0.0003344808997822809,0.008390342470698767,5.092050231845915,25.084668440440627,0.7324932133132253,67.67863716246451
4,1,2008-02-19,1068630,80,46,1,0.07903404571256027,0.00033138283516475064,0.008314757304938289,5.102333447312223,25.091092303572438,0.7324391808435444,67.67892802002987
4,2,2008-02-19,1068636,80,46,1,0.07895556326792992,0.00032907460512692475,0.008260253311156878,5.092983566320852,25.101460831263115,0.7326896648871096,67.67272970328362
5,0,2010-07-07,1263722,80,45,2,0.07659425529451182,0.0007198498849774624,0.008281801781664922,5.028725543334355,25.295148462351342,0.7272533693165054,67.90165755611196
5,1,2010-07-07,1263758,80,45,2,0.0765039907442267,0.0007172185062390538,0.008232906534602378,5.046269776181678,25.299304946662424,0.7274491626460114,67.88952753776995
5,2,2010-07-07,1263784,80,45,2,0.07642184180820977,0.0007151626113309402,0.008179963867180888,5.033097140347802,25.305459857754226,0.7276826309062634,67.88160733037054
6,0,2012-11-21,1458578,80,45,2,0.07607326452799223,0.0007229036654769129,0.008422815032099356,5.122891555759428,25.40641080525404,0.7280488445821631,67.88467494371051
6,1,2012-11-21,1458603,80,45,2,0.07596638009757539,0.0007205942508057459,0.008382201622895468,5.135534406701157,25.408603210503493,0.728290441087185,67.87060456504025
6,2,2012-11-21,1458617,80,45,2,0.07588042536376675,0.0007190347828245166,0.008340297812307908,5.127681008855574,25.413200048737934,0.7284898405824634,67.85999941940256
7,0,2015-04-14,1660162,80,45,1,0.07596219133770889,0.0003436229958361249,0.008762727865015897,5.15855224726615,25.500993737901275,0.7274021301856382,67.90744758844436
7,1,2015-04-14,1660199,80,45,1,0.07586236376665315,0.00034211677880111073,0.008724706012833313,5.169307791161535,25.502128376771058,0.7276234055938976,67.8938934253556
7,2,2015-04-14,1660216,80,45,1,0.075799177474395,0.00034101920928247863,0.008698425863979576,5.160315706257451,25.50714337260208,0.7277772949466066,67.88743366669593
8,0,2017-08-29,1861227,80,45,1,0.07553372855681417,0.00035202522673550364,0.009005367259098914,5.272489720973283,25.581596360607286,0.7274403344349679,67.90526672013814
8,1,2017-08-29,1861237,80,45,1,0.0754684978389858,0.0003506530159947544,0.00897143820662512,5.282632360051363,25.584945223341037,0.7275925091006591,67.89611030557518
8,2,2017-08-29,1861249,80,45,1,0.07540915105606527,0.0003502038864243064,0.008961601241432617,5.272998232079901,25.589668158550236,0.7277418847825959,67.89144007757702
9,0,2020-01-17,2057224,80,44,1,0.07114486140276721,0.0003595392460305053,0.009222293887733784,5.355828935027837,25.650312141310195,0.7279255998861548,67.87456512653343
9,1,2020-01-17,2057247,80,45,1,0.07499185781111904,0.000357908342606402,0.009180973826052766,5.365407553910193,25.65174580506843,0.7280624287573102,67.86642203536425
9,2,2020-01-17,2057257,80,45,1,0.0749418357803311,0.0003581336089149285,0.009188379793823755,5.354332491093892,25.65629018081454,0.7281482429088953,67.86390688050966
10,0,2022-06-06,2259185,80,44,1,0.07139882716227798,0.00035901946298304163,0.00922527622976941,5.370511195118418,25.69575519142584,0.7270734574818761,67.9222268247205
10,1,2022-06-06,2259200,80,44,1,0.0713201668811938,0.000357251662770197,0.009179498735087813,5.3812631114070815,25.694768399139818,0.7272899899067294,67.9097337181242
10,2,2022-06-06,2259228,80,45,1,0.07519400612128715,0.0003573489129608387,0.009183808463110666,5.372604604495933,25.699836014660285,0.7273254968737669,67.90946390560708
11,0,2024-10-24,2460116,80,44,1,0.07105642005457219,0.00035873206109759547,0.00923586828567386,5.432757109068296,25.745867981287518,0.7270135864970567,67.89601934132305
11,1,2024-10-24,2460113,80,44,1,0.07098730793144169,0.00035742558683926883,0.009202322044240636,5.442259292703064,25.746119984350308,0.7271968040827922,67.88593150034745
11,2,2024-10-24,2460150,80,45,1,0.07484995617815833,0.0003574198301275294,0.009203441516790785,5.4327301991412655,25.74966675326029,0.7272295344269161,67.88509304977659
