fold,offset,train_start,train_end,test_start,rows,predictors,below_0p01,below_0p1,min_eigenvalue,max_eigenvalue,trace,effective_df_c0p01
0,0,1995-01-10,1998-07-31,1998-09-01,292872,144,16,91,0.0023945881360773196,8.041047287956541,40.329316148225196,113.33122848796842
0,1,1995-01-10,1998-07-31,1998-09-01,292864,144,17,91,0.0026850495416276673,8.059357657179827,40.39221028511133,113.37758315120612
0,2,1995-01-10,1998-07-31,1998-09-01,292878,144,17,91,0.002688046336607132,8.080045603643281,40.44221903005686,113.36646677947948
1,0,1995-01-10,2000-12-14,2001-01-18,486577,144,17,89,0.0025811011579351026,8.56158766985287,43.08959380911078,113.88092154320935
1,1,1995-01-10,2000-12-14,2001-01-18,486593,144,17,89,0.002769962010292668,8.571375509804563,43.13090476770509,113.91990937830944
1,2,1995-01-10,2000-12-14,2001-01-18,486554,144,17,89,0.0027730088189480994,8.585142321690363,43.15818881333156,113.91407405110064
2,0,1995-01-10,2003-05-09,2003-06-11,674723,144,15,86,0.0023905023371568568,9.111896474527118,44.28376185028643,114.56106603773179
2,1,1995-01-10,2003-05-09,2003-06-11,674723,144,15,86,0.0025229902263360793,9.090431986147518,44.312346503270945,114.60902586427804
2,2,1995-01-10,2003-05-09,2003-06-11,674644,144,15,86,0.002530544987493603,9.104828095872293,44.33799282301166,114.60153576785709
3,0,1995-01-10,2005-09-26,2005-10-26,872521,144,16,86,0.0023745693473165856,9.089095317437065,45.00450542852585,114.48791760446385
3,1,1995-01-10,2005-09-26,2005-10-26,872501,144,16,86,0.002472136915281095,9.059640273813255,45.01967736136658,114.51388618642953
3,2,1995-01-10,2005-09-26,2005-10-26,872434,144,16,86,0.0024827561989760618,9.075330433161307,45.03858449708409,114.50166628805647
4,0,1995-01-10,2008-02-14,2008-03-18,1068668,144,17,86,0.002459390875197977,9.210323570514966,45.4420561473268,114.32353833126427
4,1,1995-01-10,2008-02-14,2008-03-18,1068682,144,17,86,0.0025420430635464957,9.191071111423511,45.453182533360184,114.3471666418287
4,2,1995-01-10,2008-02-14,2008-03-18,1068631,144,17,86,0.002542660064044846,9.201272350846907,45.470347070335926,114.3403074000184
5,0,1995-01-10,2010-07-02,2010-08-04,1263814,144,16,86,0.002373052051310149,9.143907505709532,45.77972763066949,114.64929049392649
5,1,1995-01-10,2010-07-02,2010-08-04,1263848,144,16,86,0.002443218457140349,9.119931657926733,45.787490001948335,114.66869143232876
5,2,1995-01-10,2010-07-02,2010-08-04,1263787,144,16,86,0.002446035459801111,9.124333983609274,45.80451344459895,114.68787805027836
6,0,1995-01-10,2012-11-19,2012-12-20,1458655,144,17,86,0.002392241443562732,9.2820357642971,45.98157817409914,114.58543009891615
6,1,1995-01-10,2012-11-19,2012-12-20,1458676,144,17,86,0.0024527993493498336,9.267078107453427,45.98534472572993,114.59184936574326
6,2,1995-01-10,2012-11-19,2012-12-20,1458645,144,17,86,0.002454060551174641,9.268624849291367,46.00701085504673,114.62327540574603
7,0,1995-01-10,2015-04-10,2015-05-12,1660207,144,17,86,0.002580349541100206,9.336912367963327,46.155504461390805,114.58563014867222
7,1,1995-01-10,2015-04-10,2015-05-12,1660230,144,17,86,0.0026325549908806107,9.320872734278371,46.16065593768298,114.59611236306498
7,2,1995-01-10,2015-04-10,2015-05-12,1660235,144,17,86,0.002636038287581757,9.324415595260655,46.180277083598334,114.62205071372095
8,0,1995-01-10,2017-08-25,2017-09-27,1861303,144,16,86,0.0027161629459136667,9.502579154727702,46.29491808839917,114.58020541806636
8,1,1995-01-10,2017-08-25,2017-09-27,1861317,144,16,86,0.0027623843500518565,9.485292139203292,46.30006549784004,114.58909948907244
8,2,1995-01-10,2017-08-25,2017-09-27,1861304,144,16,86,0.0027654928988003528,9.492737691074048,46.31567406887282,114.6081425856541
9,0,1995-01-10,2020-01-15,2020-02-18,2057299,144,16,86,0.002784745377819198,9.622879377532971,46.41157125869015,114.48761999391152
9,1,1995-01-10,2020-01-15,2020-02-18,2057309,144,16,86,0.002825402033665575,9.602764494909241,46.416628109046,114.50014182928591
9,2,1995-01-10,2020-01-15,2020-02-18,2057305,144,16,86,0.0028274392333929284,9.611540969562792,46.431307210985395,114.51444394486867
10,0,1995-01-10,2022-06-02,2022-07-06,2259235,144,16,86,0.0027899689850578715,9.654404328533243,46.494504462875724,114.52444337612337
10,1,1995-01-10,2022-06-02,2022-07-06,2259264,144,16,86,0.002825592532518428,9.638009489616763,46.5001770981721,114.54000120885347
10,2,1995-01-10,2022-06-02,2022-07-06,2259268,144,16,86,0.002828272924022956,9.640062260122722,46.515242889181856,114.56044903673723
11,0,1995-01-10,2024-10-22,2024-11-21,2460162,144,16,86,0.002771214224758793,9.739652070686446,46.57783731017338,114.47508131390093
11,1,1995-01-10,2024-10-22,2024-11-21,2460202,144,16,86,0.0028040438412853413,9.721724213758105,46.58287482959161,114.48829280512088
11,2,1995-01-10,2024-10-22,2024-11-21,2460205,144,16,86,0.0028056455901433533,9.726536032331076,46.594934403189455,114.50389923372398
